ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
8090032.0,9000,181202.0,573513.0,2023,4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,99,0,2.52,
8090032.0,9000,181202.0,573513.0,2023,4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,7,2,2.52,15.0
8090032.0,9000,181202.0,573513.0,2023,4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,5,1,2.52,5.0
9920422.0,5000,180176.0,666045.0,2023,12,73,4,5,3,1,8,1,0,1,1,2,3,3,0,1.0,1,1,51,9,1,1.32,27.0
17400001.0,7900,191053.0,664490.0,2023,2,58,4,1,3,1,8,0,2,2,1,5,3,1,1,2.0,9,2,42,7,2,3.97,8.0
17400001.0,7900,191053.0,664490.0,2023,2,58,4,1,3,1,8,0,2,2,1,5,3,1,1,2.0,9,2,42,7,1,3.97,11.0
7920011.0,70,166921.0,633332.0,2023,7,23,4,5,6,1,8,0,3,3,1,3,3,6,1,2.0,1,1,61,6,1,8.88,7.0
7920011.0,70,166921.0,633332.0,2023,7,23,4,5,6,1,8,0,3,3,1,3,3,6,1,2.0,1,1,61,11,1,8.88,34.0
10510052.0,9000,177689.0,573589.0,2023,4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,15,1,1.92,48.0
10510052.0,9000,177689.0,573589.0,2023,4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,7,2,1.92,17.0
10510052.0,9000,177689.0,573589.0,2023,4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,9,2,1.92,20.0
7880015.0,6100,183979.0,666535.0,2023,1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,12,1,2.88,39.0
7880015.0,6100,183979.0,666535.0,2023,1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,12,1,2.88,45.0
7880015.0,6100,183979.0,666535.0,2023,1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,5,1,2.88,6.0
