HODESH_TEUNA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years,HOUR
9,4,1,6,1,9,1,0,1,1,2,3,1,0,5.0,1,1,51,13,1,1.32,,11
9,4,1,6,1,9,1,0,1,1,2,3,1,0,5.0,1,1,51,12,1,1.32,41.0,11
6,4,1,6,1,8,3,0,1,1,3,3,1,0,6.0,1,1,11,10,2,1.32,7.0,13
6,4,1,6,1,8,3,0,1,1,3,3,1,0,6.0,1,1,11,8,1,1.32,24.0,13
8,4,1,1,1,9,0,4,3,1,2,3,1,1,2.0,1,1,61,5,1,6.36,9.0,15
8,4,1,1,1,9,0,4,3,1,2,3,1,1,2.0,1,1,61,10,1,6.36,30.0,15
2,4,1,5,1,8,0,3,1,1,4,3,1,0,1.0,1,1,11,6,1,5.72,10.0,13
2,4,1,5,1,8,0,3,1,1,4,3,1,0,1.0,1,1,11,7,1,5.72,13.0,13
9,4,1,3,1,8,0,2,1,1,3,3,1,9,,1,1,44,14,1,0.6,49.0,7
6,4,1,1,1,8,3,0,1,1,3,3,1,0,6.0,1,1,61,10,1,1.32,9.0,13
6,4,1,1,1,8,3,0,1,1,3,3,1,0,6.0,1,1,61,7,1,1.32,16.0,13
3,4,5,7,1,9,0,3,1,1,2,4,3,0,1.0,1,1,41,13,1,0.9,48.0,19
10,4,1,4,1,9,3,0,1,1,3,3,1,0,7.0,1,1,51,15,1,1.32,54.0,8
12,4,5,7,1,8,0,2,2,1,4,3,3,1,2.0,1,1,42,6,1,3.97,10.0,22
12,4,5,7,1,8,0,2,2,1,4,3,3,1,2.0,1,1,42,4,1,3.97,,22
1,4,1,4,1,8,1,0,1,1,2,3,1,1,2.0,1,1,51,4,1,6.32,3.0,14
1,4,1,4,1,8,1,0,1,1,2,3,1,1,2.0,1,1,51,3,1,6.32,,14
3,4,1,4,1,8,3,0,1,1,2,3,1,9,,1,1,51,9,1,1.32,24.0,12
3,4,1,4,1,8,3,0,1,1,2,3,1,9,,1,1,51,12,2,1.32,43.0,12
1,4,5,5,1,8,3,0,1,1,5,3,3,1,2.0,1,1,11,9,1,7.02,26.0,4
1,4,5,5,1,8,3,0,1,1,5,3,3,1,2.0,1,1,11,7,1,7.02,9.0,4
11,4,5,6,1,8,3,0,1,1,0,3,3,0,5.0,1,1,42,15,1,6.96,52.0,21
11,4,5,6,1,8,3,0,1,1,0,3,3,0,5.0,1,1,42,99,1,6.96,3.0,21
2,4,1,4,1,8,3,0,1,1,3,3,1,0,5.0,2,2,44,7,1,1.32,19.0,16
2,4,1,4,1,8,3,0,1,1,3,3,1,0,5.0,2,2,44,6,2,1.32,11.0,16
3,4,1,1,1,9,0,3,1,1,2,3,1,1,2.0,1,1,42,6,2,1.32,4.0,11
3,4,1,1,1,9,0,3,1,1,2,3,1,1,2.0,1,1,42,10,1,1.32,30.0,11
3,4,1,6,1,9,0,2,3,1,5,3,1,1,2.0,1,1,61,12,1,5.7,33.0,10
3,4,1,6,1,9,0,2,3,1,5,3,1,1,2.0,1,1,61,10,1,5.7,19.0,10
5,4,5,3,1,8,3,0,1,1,2,3,6,0,6.0,1,1,51,17,1,1.32,34.0,19
4,4,1,1,1,8,0,3,1,1,1,3,1,0,1.0,1,1,42,99,0,0.6,,11
12,4,5,7,1,8,1,0,1,1,4,3,3,1,2.0,1,1,51,10,1,4.5,15.0,23
12,4,5,7,1,8,1,0,1,1,4,3,3,1,2.0,1,1,51,4,1,4.5,,23
4,3,1,6,1,8,3,0,1,1,3,3,1,0,1.0,1,1,51,15,1,0.6,56.0,9
7,4,5,2,1,8,0,3,1,1,2,4,6,1,2.0,1,1,11,7,1,5.04,14.0,0
7,4,5,2,1,8,0,3,1,1,2,4,6,1,2.0,1,1,11,15,2,5.04,31.0,0
3,4,1,5,1,8,0,4,1,1,2,3,1,1,2.0,1,1,11,13,2,3.84,43.0,16
3,4,1,5,1,8,0,4,1,1,2,3,1,1,2.0,1,1,11,5,1,3.84,7.0,16
4,4,1,6,1,9,3,0,3,1,0,3,1,0,1.0,1,1,51,99,0,1.6,,8
2,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,31,6,1,1.32,6.0,23
2,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,31,6,1,1.32,10.0,23
